_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6866,828085,200,King St E,200 King St E,M5A 3W8,former Toronto,Toronto,Toronto Centre (13),,115001,1145266,200,,,,3779,,,,,34,Bike Corral,George St,14,10.0,2014,NO,,80,"{u'type': u'Point', u'coordinates': (-79.3701856619, 43.6511004642)}"
6867,772775,315,Bloor St W,315 Bloor St W,M5S 1A3,former Toronto,Toronto,University-Rosedale (11),,115001,1142564,315,,,,458,,,,,53,Bike Rack,Bloor St W,8,2.9,2016,,,81,"{u'type': u'Point', u'coordinates': (-79.3985624501, 43.6674469424)}"
6868,7466874,516,Glenlake Ave,516 Glenlake Ave,,former Toronto,Toronto,Parkdale-High Park (4),Glenlake Square,115001,7466844,516,,,,3546,,,,,81,Bike Rack,Glendonwynne Rd,8,2.9,2017,,,82,"{u'type': u'Point', u'coordinates': (-79.474104822, 43.6561212464)}"
6869,8416838,693,Bloor St W,693 Bloor St W,M6G 1L5,former Toronto,Toronto,University-Rosedale (11),,115001,8416823,693,,,,458,,,,,96,Bike Rack,Clinton St,8,2.9,2016,,,83,"{u'type': u'Point', u'coordinates': (-79.4173511984, 43.6635409715)}"
6870,828221,150,King St W,150 King St W,M5H 1J9,former Toronto,Toronto,Spadina-Fort York (10),,115001,1145855,150,,,,3780,,,,,23,Bike Rack,University Ave,8,2.9,2017,,,84,"{u'type': u'Point', u'coordinates': (-79.3842322746, 43.6482142785)}"
6871,30019115,35D,Bathurst St,35D Bathurst St,M5V 2P2,former Toronto,Toronto,Spadina-Fort York (10),,115001,8457361,35,D,,,436,,,,,58,Bike Rack,Bathurst St,8,2.9,2016,,,85,"{u'type': u'Point', u'coordinates': (-79.4017249691, 43.6422257158)}"
6872,367443,71,New Forest Sq,71 New Forest Sq,M1V 2Z6,Scarborough,Toronto,Scarborough-Agincourt (22),,115001,20050441,71,,,,9497,,,,,98,Bike Rack,Steeles Ave E,8,2.9,2016,,,86,"{u'type': u'Point', u'coordinates': (-79.3074473907, 43.8230331061)}"
6873,14199241,11,Charlotte St,11 Charlotte St,M5V 0M6,former Toronto,Toronto,Spadina-Fort York (10),,115001,14025593,11,,,,3147,,,,,10,Bike Rack,Charlotte St,8,2.9,2017,,,87,"{u'type': u'Point', u'coordinates': (-79.3936698785, 43.6463778424)}"
6874,11272519,1560,Yonge St,1560 Yonge St,M4T 2S9,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,14242419,1560,,,,4733,,,,,24,Bike Rack,Delisle Ave,8,2.9,2016,,,88,"{u'type': u'Point', u'coordinates': (-79.3951269012, 43.689678353)}"
6875,772899,612,Bloor St W,612 Bloor St W,M6G 1K7,former Toronto,Toronto,University-Rosedale (11),,115001,1143160,612,,,,458,,,,,88,Bike Rack,,8,2.9,0,,,89,"{u'type': u'Point', u'coordinates': (-79.4138388158, 43.66473417)}"
6876,773157,1032,Bloor St W,1032 Bloor St W,M6H 1M2,former Toronto,Toronto,Davenport (9),,115001,1143789,1032,,,,458,,,,,7,Bike Rack,Salem Ave,8,2.9,2015,,,90,"{u'type': u'Point', u'coordinates': (-79.4316062598, 43.6609569225)}"
6877,20364734,157,Dan Leckie Way,157 Dan Leckie Way,M5V 4A8,former Toronto,Toronto,Spadina-Fort York (10),,115001,20364648,157,,,,17007,,,,,25,Bike Rack,Dan Leckie Way,8,2.9,2016,,,91,"{u'type': u'Point', u'coordinates': (-79.3980055327, 43.6398931179)}"
6878,7792268,595,Bay St,595 Bay St,M5G 2C2,former Toronto,Toronto,University-Rosedale (11),,115001,7792266,595,,,,2962,,,,,86,Bike Rack,Dundas St W,8,2.9,2016,,,92,"{u'type': u'Point', u'coordinates': (-79.3832978279, 43.6562124477)}"
6879,14210933,5,Salem Ave,5 Salem Ave,M6H 3C2,former Toronto,Toronto,Davenport (9),,115001,14011464,5,,,,4354,,,,,75,Bike Rack,Salem Ave,8,2.9,2014,,,93,"{u'type': u'Point', u'coordinates': (-79.4315601024, 43.6608451251)}"
6880,14210930,1036,Bloor St W,1036 Bloor St W,M6H 1M3,former Toronto,Toronto,Davenport (9),,115001,1143821,1036,,,,458,,,,,9,Bike Rack,Bloor St W,8,2.9,2014,,,94,"{u'type': u'Point', u'coordinates': (-79.4319383641, 43.6608213174)}"
6881,8417835,1,Albany Ave,1 Albany Ave,M5R 3C2,former Toronto,Toronto,University-Rosedale (11),,115001,14014600,1,,,,2859,,,,,1,Bike Rack,Bloor St W,8,2.9,2017,,,95,"{u'type': u'Point', u'coordinates': (-79.4099385909, 43.6657201947)}"
6882,20362129,163,Dan Leckie Way,163 Dan Leckie Way,M5V 4A8,former Toronto,Toronto,Spadina-Fort York (10),,115001,20364648,163,,,,17007,,,,,27,Bike Rack,Iceboat Ter,8,2.9,2016,,,96,"{u'type': u'Point', u'coordinates': (-79.3980686082, 43.6400541998)}"
6883,7641709,26,Dundas St E,26 Dundas St E,M5B 2L6,former Toronto,Toronto,Toronto Centre (13),,115001,7641747,26,,,,3334,,,,,47,Bike Rack,Victoria St,8,2.9,2017,,,97,"{u'type': u'Point', u'coordinates': (-79.3799775246, 43.6565175761)}"
6884,13968174,38,Orchard View Blvd,38 Orchard View Blvd,M4R 2G3,former Toronto,Toronto,Eglinton-Lawrence (8),,115001,10258454,38,,,,4111,,,,,62,Bike Rack,Yonge St,8,2.9,2016,,,98,"{u'type': u'Point', u'coordinates': (-79.3996801446, 43.7082167133)}"
6885,7929674,200,King St W,200 King St W,M5H 3T4,former Toronto,Toronto,Spadina-Fort York (10),,115001,7929673,200,,,,3780,,,,,36,Bike Rack,University Ave,8,2.9,2016,,,99,"{u'type': u'Point', u'coordinates': (-79.3857204176, 43.6479052738)}"
6886,3120556,1030,King St W,1030 King St W,M6K 0B4,former Toronto,Toronto,Spadina-Fort York (10),,115001,3155022,1030,,,,3780,,,,,6,Bike Rack,King St W,16,2.9,2016,,,100,"{u'type': u'Point', u'coordinates': (-79.4157586755, 43.6415808537)}"
6887,10154425,1,St Clair Ave E,1 St Clair Ave E,M4T 2V7,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,10154405,1,,,,339,,,,,2,Bike Rack,Yonge St,24,2.9,2016,,,101,"{u'type': u'Point', u'coordinates': (-79.3935708744, 43.6879111568)}"
6888,7939998,10,Linnsmore Cres,10 Linnsmore Cres,M4J 4J6,former Toronto,Toronto,Toronto-Danforth (14),,115001,14023269,10,,,,11375,,,,,3,Bike Rack,Linnsmore Cr,18,2.9,2016,,,102,"{u'type': u'Point', u'coordinates': (-79.3302921709, 43.6825720317)}"
6889,20140670,101,Sherbourne St,101 Sherbourne St,M5A 2R3,former Toronto,Toronto,Toronto Centre (13),,115001,1144819,101,,,,4391,,,,,5,Bike Rack,Richmond St E,8,2.9,2016,,,103,"{u'type': u'Point', u'coordinates': (-79.3689116973, 43.6536621558)}"
6890,7553175,1184,Queen St W,1184 Queen St W,M6J 1J5,former Toronto,Toronto,Davenport (9),,115001,7553178,1184,,,,4238,,,,,12,Bike Corral,Northcote Ave,14,5.5,2013,NO,,104,"{u'type': u'Point', u'coordinates': (-79.4257846968, 43.6430284992)}"
6891,30072958,1190,Dundas St E,1190 Dundas St E,M4M 0C5,former Toronto,Toronto,Toronto-Danforth (14),,115001,7576995,1190,,,,3334,,,,,13,Bike Rack,Carlaw Ave,8,2.9,2016,,,105,"{u'type': u'Point', u'coordinates': (-79.3410336456, 43.6652675256)}"
6892,8408615,12,Madison Ave,12 Madison Ave,M5R 2S1,former Toronto,Toronto,University-Rosedale (11),,115001,30104520,12,,,,3896,,,,,15,Bike Rack,Madison Ave,8,2.9,2016,,,106,"{u'type': u'Point', u'coordinates': (-79.4033213403, 43.6677591999)}"
6893,7570973,12,Ossington Ave,12 Ossington Ave,M6J 2Y7,former Toronto,Toronto,Spadina-Fort York (10),,115001,7570969,12,,,,4125,,,,,16,Angled Bike Rack,Ossington Ave,5,2.9,2016,,,107,"{u'type': u'Point', u'coordinates': (-79.4193781682, 43.6444593301)}"
6894,773911,122,Bond St,122 Bond St,M5B 1X8,former Toronto,Toronto,Toronto Centre (13),,115001,14021112,122,,,,3029,,,,,17,Bike Rack,Bond St,16,2.9,2016,,,108,"{u'type': u'Point', u'coordinates': (-79.3791387852, 43.6573781216)}"
6895,773913,137,Bond St,137 Bond St,M5B 1Y2,former Toronto,Toronto,Toronto Centre (13),,115001,14021112,137,,,,3029,,,,,19,Bike Rack,Dalhousie St,8,2.9,2016,,,109,"{u'type': u'Point', u'coordinates': (-79.3787181688, 43.6578227118)}"
6896,7930799,124,Spadina Ave,124 Spadina Ave,,former Toronto,Toronto,Spadina-Fort York (10),,115001,7930670,124,,,,4426,,,,,18,Bike Corral,Camden St,28,12.0,2015,NO,,110,"{u'type': u'Point', u'coordinates': (-79.3963385441, 43.6471839085)}"
6897,14069353,192,Spadina Ave,192 Spadina Ave,M5T 2C2,former Toronto,Toronto,Spadina-Fort York (10),,115001,10494196,192,,,,4426,,,,,29,Bike Corral,Spadina Ave,14,5.5,2015,NO,,111,"{u'type': u'Point', u'coordinates': (-79.3976488984, 43.6499378952)}"
6898,14199528,196,Spadina Ave,196 Spadina Ave,M5T 2C2,former Toronto,Toronto,Spadina-Fort York (10),,115001,10494196,196,,,,4426,,,,,30,Bike Rack,Spadina Ave,8,2.9,2016,,,112,"{u'type': u'Point', u'coordinates': (-79.397370652, 43.65012455)}"
6899,9980057,1978,Queen St E,1978 Queen St E,M4L 1H8,former Toronto,Toronto,Beaches-East York (19),,115001,9980046,1978,,,,4237,,,,,31,Bike Rack,Waverley Rd,8,2.9,2017,,,113,"{u'type': u'Point', u'coordinates': (-79.3011363155, 43.669972861)}"
6900,9468140,20,Northcote Ave,20 Northcote Ave,,former Toronto,Toronto,Davenport (9),,115001,14018614,20,,,,4070,,,,,33,Bike Shelter,Northcote Ave,10,3.0,2015,,,114,"{u'type': u'Point', u'coordinates': (-79.4264347477, 43.6431255581)}"
6901,14207146,205,Spadina Ave,205 Spadina Ave,M5T 2C7,former Toronto,Toronto,Spadina-Fort York (10),,115001,10494196,205,,,,4426,,,,,38,Bike Corral,Spadina Ave,14,11.0,2010,Y,,115,"{u'type': u'Point', u'coordinates': (-79.3966190322, 43.6504254363)}"
6902,11382307,777,Victoria Park Ave,777 Victoria Park Ave,,Scarborough,Toronto,Scarborough Southwest (20),,115001,11382305,777,,,,370,,,,,103,Bike Rack,Victoria Park Ave,8,2.9,0,,,116,"{u'type': u'Point', u'coordinates': (-79.2891570512, 43.69454357)}"
6903,30025064,78,Tecumseth St,78 Tecumseth St,M5V 0A9,former Toronto,Toronto,Spadina-Fort York (10),,115001,20053421,78,,,,4534,,,,,104,Bike Rack,King St W,8,2.9,2016,,,117,"{u'type': u'Point', u'coordinates': (-79.4054414222, 43.6430480473)}"
